,TITLE,AUTHOR,DATE,STAR,RATING,CATEGORY
0,Alice's Adventures in Wonderland: 150th Anniversary Edition,Lewis Carroll,"Sep 29, 2015",4.5,8259,Arts & Photography
1,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Deborah Schecter,"Oct 1, 2010",4.7,8170,Arts & Photography
2,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering, | ,"Oct 27, 2017",4.4,8156,Arts & Photography
3,Disney Dreams Collection Thomas Kinkade Studios Coloring Book,Thomas Kinkade,"Sep 19, 2017",4.7,8004,Arts & Photography
4,Hinch Yourself Happy: All The Best Cleaning Tips To Shine Your Sink And Soothe Your Soul,Mrs Hinch,"Apr 4, 2019",4.7,7739,Arts & Photography
5,Mrs Hinch: The Activity Journal,Mrs Hinch,"Oct 17, 2019",-,6935,Arts & Photography
6,"The Ultimate Guide to Modern Calligraphy & Hand Lettering for Beginners: Learn to Letter: A Hand Lettering Workbook with Tips, Techniques, Practice Pages, and Projects", | ,"Aug 12, 2019",4.6,6497,Arts & Photography
7,Hamilton: The Revolution,Lin-Manuel Miranda,"Apr 12, 2016",-,6324,Arts & Photography
8,Adult Coloring Book: Stress Relieving Animal Designs,MantraCraft,"Jan 26, 2018",4.6,6198,Arts & Photography
9,Mere Christianity,C. S. Lewis,"Nov 25, 2003",-,6137,Arts & Photography
10,Bossypants,Tina Fey,"Jan 3, 2012",4.3,6063,Arts & Photography
11,A Swear Word Coloring Book for Adults: Sweary AF: F*ckity F*ck F*ck F*ck, | ,"Sep 18, 2017",4.7,6024,Arts & Photography
12,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",Jade Summer,"Jul 15, 2019",4.6,5709,Arts & Photography
13,Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life: Zen as F*ck Journals, | ,"Dec 23, 2019",4.7,5672,Arts & Photography
14,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Johanna Basford,"Feb 17, 2015",-,5565,Arts & Photography
15,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,"Jan 29, 2013",-,5539,Arts & Photography
16,Howard Stern Comes Again,Howard Stern,"May 14, 2019",4.3,5512,Arts & Photography
17,"Go F*ck Yourself, I'm Coloring: Swear Word Coloring Book",Alex Fleming,"Jun 20, 2016",4.6,5444,Arts & Photography
18,"100 Flowers: An Adult Coloring Book with Bouquets, Wreaths, Swirls, Patterns, Decorations, Inspirational Designs, and Much More!",Jade Summer,"Jan 16, 2020",4.7,5228,Arts & Photography
19,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Sep 23, 2019",-,5003,Arts & Photography
20,Q&A a Day: 5-Year Journal,Potter Gift,"Nov 23, 2010",4.7,4964,Arts & Photography
21,People of Walmart.com Adult Coloring Book: Rolling Back Dignity (OFFICIAL People of Walmart Coloring Books),Day Drankin' Press,"Sep 30, 2016",4.7,4955,Arts & Photography
22,"NIV, Journal the Word Bible, Leathersoft, Brown: Reflect, Journal, or Create Art Next to Your Favorite Verses",Zondervan,"Sep 6, 2016",4.6,4954,Arts & Photography
23,Romeo and Juliet,William Shakespeare,"May 1, 1998",4.6,4943,Arts & Photography
24,The Picture of Dorian Gray (Vintage Classics),Oscar Wilde,"Jul 26, 2011",4.4,4899,Arts & Photography
25,Frankenstein, | ,"Jul 7, 2020",4.4,4740,Arts & Photography
26,Open Book,Jessica Simpson,"Feb 4, 2020",4.7,4769,Arts & Photography
27,Stunning Digital Photography,Tony Northrup,"Dec 1, 2019",4.7,4746,Arts & Photography
28,The Anatomy Coloring Book,Wynn Kapit,"Mar 27, 2013",4.6,4743,Arts & Photography
29,"Wreck This Journal: To Create is to Destroy, Now With Even More Ways to Wreck!",Keri Smith,"Apr 22, 2013",4.7,4737,Arts & Photography
30,Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners,David M. Brewster,"Apr 1, 2004",4.4,4472,Arts & Photography
31,"The Drawing Book for Kids: 365 Daily Things to Draw, Step by Step (Woo! Jr. Kids Activities Books)",Woo! Jr. Kids Activities,"Aug 16, 2017",4.7,4442,Arts & Photography
32,The Autobiography of Malcolm X: As Told to Alex Haley,Alex Haley,"Oct 12, 1987",-,126815,Biographies & Memoirs
33,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,"May 1, 2008",-,126815,Biographies & Memoirs
34,Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculee Ilibagiza,"Apr 7, 2014",-,126815,Biographies & Memoirs
35,Becoming,Michelle Obama,"Nov 13, 2018",-,65225,Biographies & Memoirs
36,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man, | ,"Jul 14, 2020",4.6,59719,Biographies & Memoirs
37,Educated: A Memoir,Tara Westover,"Feb 20, 2018",4.7,30962,Biographies & Memoirs
38,The Room Where It Happened: A White House Memoir, | ,"Jun 23, 2020",4.3,30370,Biographies & Memoirs
39,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,"Nov 16, 2010",-,29793,Biographies & Memoirs
40,Think and Grow Rich,Napoleon Hill,"Aug 7, 2018",4.7,27886,Biographies & Memoirs
41,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"Jan 1, 2015",-,27468,Biographies & Memoirs
42,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Nov 15, 2016",-,24104,Biographies & Memoirs
43,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Feb 12, 2019",-,24104,Biographies & Memoirs
44,Untamed,Glennon Doyle,"Mar 10, 2020",4.7,18194,Biographies & Memoirs
45,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"Dec 10, 2018",-,17912,Biographies & Memoirs
46,Man's Search for Meaning,Viktor E. Frankl,"Jun 1, 2006",4.7,17476,Biographies & Memoirs
47,Man's Search for Meaning,Viktor E. Frankl,"Jan 1, 1702",4.7,17476,Biographies & Memoirs
48,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Mar 26, 2013",4.4,17329,Biographies & Memoirs
49,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,"Dec 1, 2019",4.4,16246,Biographies & Memoirs
50,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,"Jan 29, 2013",4.6,16093,Biographies & Memoirs
51,This Is Going to Hurt: Secret Diaries of a Medical Resident,Adam Kay,"Dec 3, 2019",4.6,16033,Biographies & Memoirs
52,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,"Oct 31, 2010",4.7,15859,Biographies & Memoirs
53,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,"May 1, 2018",4.4,15848,Biographies & Memoirs
54,Maude,Donna Foley Mabry,"Oct 16, 2014",4.4,14608,Biographies & Memoirs
55,When Breath Becomes Air,Paul Kalanithi,"Jan 12, 2016",4.7,14236,Biographies & Memoirs
56,Fire and Fury: Inside the Trump White House,Michael Wolff,"Jan 5, 2018",-,13875,Biographies & Memoirs
57,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife, | ,"Oct 23, 2012",4.3,13703,Biographies & Memoirs
58,The Art Of War,Sun Tzu,"Nov 1, 2007",4.4,13093,Biographies & Memoirs
59,12 Years a Slave,Solomon Northup,"Feb 21, 2014",4.6,12552,Biographies & Memoirs
60,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Aug 18, 2015",-,11949,Biographies & Memoirs
61,How to Be an Antiracist,Ibram X. Kendi,"Aug 13, 2019",-,11918,Biographies & Memoirs
62,Sharp Objects,Gillian Flynn,"Jul 31, 2007",4.3,11644,Biographies & Memoirs
63,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,"Sep 23, 2014",4.6,10974,Biographies & Memoirs
64,Between the World and Me,Ta-Nehisi Coates,"Jul 14, 2015",4.7,10935,Biographies & Memoirs
